,edge,edge_text,variables,variables_text
0,(((so/M/en much/M/en) hate/Pd.?so.|f-----/en) (with/Br.ma/en (japanese/Ma/en woman/Cc.s/en) (in/Br.ma/en megaphone/Cc.s/en osaka/Cp.s/en)) i/Ci/en koreans/Cp.p/en),"Japanese woman with megaphone in Osaka: ""I hate Koreans so much","[{'PRED': [[['so/M/en'], ['much/M/en']], ['hate/Pd.?so.|f-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['koreans/Cp.p/en']}]","[{'PRED': 'hate so much', 'SOURCE': 'I', 'TARGET': 'Koreans'}]"
1,((again/M/en (to/Mi/en beat/Pd.so.-i-----/en)) india/Cp.s/en china/Cp.s/en),India to beat China again,"[{'PRED': [['again/M/en'], [['to/Mi/en'], ['beat/Pd.so.-i-----/en']]], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'to beat again', 'SOURCE': 'India', 'TARGET': 'China'}]"
2,((again/M/en blames/Pd.so.|f--3s-/en) russia/Cp.s/en ukraine/Cp.s/en),Russia Blames Ukraine (Again,"[{'PRED': [['again/M/en'], ['blames/Pd.so.|f--3s-/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'Blames Again', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
3,((alone/M/en (will/Mm/en (not/Mn/en attack/Pd.so.-i-----/en))) france/Cp.s/en syria/Cp.s/en),France will not attack Syria alone,"[{'PRED': [['alone/M/en'], [['will/Mm/en'], [['not/Mn/en'], ['attack/Pd.so.-i-----/en']]]], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'will not attack alone', 'SOURCE': 'France', 'TARGET': 'Syria'}]"
4,((also/M/en urged/Pd.sor.<f-----/en) beijing/Cp.s/en seoul/Cp.s/en (and/J/en ((to/Mi/en respect/P.o.-i-----/en) (its/Mp/en concerns/Cc.p/en)) (resolve/P!.o.-i-----/en (over/Br.ma/en tensions/Cc.p/en (the/Md/en (+/B.mm/. deployment/Cc.s/en (of/Jr.ma/en (a/Md/en (+/B.am/. u%2es%2e/Cm/en (anti/Ma/en (-/Ma/en (missile/Ma/en system/Cc.s/en))))) (opposes/P.os.|f--3s-/en that/C/en it/Ci/en)))))))),Beijing also urged Seoul to respect its concerns and resolve tensions over the deployment of a U.S. anti-missile system that it opposes,"[{'PRED': [['also/M/en'], ['urged/Pd.sor.<f-----/en']], 'SOURCE': ['beijing/Cp.s/en'], 'TARGET': ['seoul/Cp.s/en']}]","[{'PRED': 'also urged', 'SOURCE': 'Beijing', 'TARGET': 'Seoul'}]"
5,((angrily/M/en scolds/Pd.sox.|f--3s-/en) venezuela/Cp.s/en colombia/Cp.s/en (for/T/en (having/P.r.|pg----/en (meet/P.sx.-i-----/en president/Cc.s/en (with/T/en (+/B.am/. (+/B.am/. opposition/Cc.s/en leader/Cc.s/en) capriles/Cp.s/en)))))),Venezuela angrily scolds Colombia for having president meet with opposition leader Capriles,"[{'PRED': [['angrily/M/en'], ['scolds/Pd.sox.|f--3s-/en']], 'SOURCE': ['venezuela/Cp.s/en'], 'TARGET': ['colombia/Cp.s/en'], 'TOPIC': [['having/P.r.|pg----/en'], [['meet/P.sx.-i-----/en'], ['president/Cc.s/en'], [['with/T/en'], [['+/B.am/.'], [['+/B.am/.'], ['opposition/Cc.s/en'], ['leader/Cc.s/en']], ['capriles/Cp.s/en']]]]]}]","[{'PRED': 'angrily scolds', 'SOURCE': 'Venezuela', 'TARGET': 'Colombia', 'TOPIC': 'having president meet with opposition leader Capriles'}]"
6,((can/Mm/en (not/Mn/en (even/M/en convince/Pd.soo.-i-----/en))) washington/Cp.s/en ally/Cp.s/en japan/Cp.s/en),Washington cannot even convince ally Japan,"[{'PRED': [['can/Mm/en'], [['not/Mn/en'], [['even/M/en'], ['convince/Pd.soo.-i-----/en']]]], 'SOURCE': ['washington/Cp.s/en'], 'TARGET': ['japan/Cp.s/en']}]","[{'PRED': 'cannot even convince', 'SOURCE': 'Washington', 'TARGET': 'Japan'}]"
7,((can/Mm/en sue/P.so.-i-----/en) palestine/Cp.s/en israel/Cp.s/en),Palestine can sue Israel,"[{'PRED': [['can/Mm/en'], ['sue/P.so.-i-----/en']], 'SOURCE': ['palestine/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'can sue', 'SOURCE': 'Palestine', 'TARGET': 'Israel'}]"
8,((could/Mm/en invade/P.so.-i-----/en) russia/Cp.s/en poland/Cp.s/en),Russia could invade Poland,"[{'PRED': [['could/Mm/en'], ['invade/P.so.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['poland/Cp.s/en']}]","[{'PRED': 'could invade', 'SOURCE': 'Russia', 'TARGET': 'Poland'}]"
9,((could/Mm/en invade/P.so.-i-----/en) russia/Cp.s/en ukraine/Cp.s/en),Russia Could Invade Ukraine,"[{'PRED': [['could/Mm/en'], ['invade/P.so.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'could invade', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
